"time","sAc.con.concentration","sNe.con.concentration","vNe.con.concentration","wNe.con.concentration","baro.broad.xbroad","blood.vessel.pressure","lung.resp.phase","lung.signal.activation","sNeRelease.inhibition_signal","sym.signal.activation","heart.contraction.T","baro.signal.activation","para.signal.activation"
0,0.5,0.12,0.12,0.12,36.93913555299361,100,-0,0.3756550564175726,63.48180900458773,19.05749438046662,1,36.93913555299361,63.48180900458773
1.500150000150058e-07,0.4999994214316467,0.1200000034434644,0.1200000017217323,0.1200000052748764,36.93913555299361,99.99998925394164,-2.356430109877053e-07,0.3756549422976498,63.48180397910336,19.05749255875563,1,36.93913555299361,63.48180397910336
1.500150000150058e-07,0.4999994214316467,0.1200000034434644,0.1200000017217323,0.1200000052748764,36.93913555299361,99.99998925394164,-2.356430109877053e-07,0.3756549422976498,63.48180397910336,19.05749255875563,1,36.93913555299361,63.48180397910336
0.001,0.4961814993346729,0.120022948398934,0.1200114756336608,0.1200351579332505,36.93913555299361,99.9283931322685,-0.001570795680830879,0.3748944866989532,63.44831589361439,19.0453533083228,1,36.93913555299361,63.44831589361439
0.002,0.4924383412565974,0.1200458853275829,0.1200229483989035,0.1200703070785196,36.93692494603724,99.8568389735952,-0.003141587485879564,0.3741342256657515,63.41231148501044,19.03574205493465,1,36.93692494603724,63.41231148501044
0.003,0.4887692305929184,0.120068810790934,0.1200344182963509,0.1201054474377159,36.9293546994533,99.78533748898037,-0.004712371539373423,0.3733742751938359,63.37020195209647,19.03225455953369,1,36.9293546994533,63.37020195209647
0.004,0.4851727563210622,0.1200917247945118,0.1200458853266941,0.1201405790129565,36.91447752957244,99.71388863967644,-0.006283143965558951,0.3726146371583089,63.31976901153838,19.03710921796016,1,36.91447752957244,63.31976901153838
0.005,0.4816475817477202,0.1201146273436466,0.1200573494905999,0.1201757018062842,36.89173231106623,99.64249238831036,-0.007853900888711334,0.3718553134335016,63.2603786530931,19.050940152917,1,36.89173231106623,63.2603786530931
0.006,0.4781923285848049,0.1201375184439575,0.1200688107887716,0.1202108158198537,36.86154447380768,99.57114869549854,-0.009424638433144006,0.37109630589297,63.19252318441777,19.07325516916043,1,36.86154447380768,63.19252318441777
0.007,0.4748056940346367,0.1201603981007966,0.120080269221879,0.120245921055717,36.82487290450944,99.49985752373314,-0.01099535272321822,0.3703376164094897,63.11730294608873,19.10295403848065,1,36.82487290450944,63.11730294608873
0.008,0.471486218802335,0.1201832663202349,0.1200917247906821,0.1202810175162027,36.78286765725968,99.42861883047483,-0.01256603988335261,0.3695792468550515,63.03603518276807,19.13871962853502,1,36.78286765725968,63.03603518276807
0.008999999999999999,0.4682325334149965,0.1202061231081091,0.1201031774959117,0.1203161052035498,36.73665801942319,99.35743257484197,-0.01413669603803273,0.368821199100857,62.95001213188797,19.17925981416345,1,36.73665801942319,62.95001213188797
0.01,0.4650432372099917,0.1202289684704945,0.1201146273383288,0.1203511841200894,36.6872435419923,99.28629871429366,-0.01570731731182068,0.3680634750173135,62.86037684432313,19.22343165671568,1,36.6872435419923,62.86037684432313
0.011,0.4619171570211575,0.1202518024130044,0.1201260743186372,0.1203862542679783,36.63545328280175,99.2152172095807,-0.01727789982936457,0.3673060764740301,62.768076926981,19.27028766146081,1,36.63545328280175,62.768076926981
0.012,0.4588530877831849,0.1202746249413511,0.1201375184375533,0.1204213156494108,36.58194462009054,99.14418802075635,-0.01884843971540818,0.3665490053398122,62.67386343756321,19.31907688282552,1,36.58194462009054,62.67386343756321
0.013,0.4558497470077102,0.1202974360613389,0.1201489596958043,0.1204563682666153,36.52722175997354,99.07321110720324,-0.02041893309480046,0.3657922634826577,62.57831221245247,19.36922359650698,1,36.52722175997354,62.57831221245247
0.014,0.4529058882045688,0.1203202357787291,0.1201603980941125,0.1204914121218043,36.47166162774577,99.00228642861866,-0.02198937609250511,0.3650358527697518,62.48185357043965,19.42029759574546,1,36.47166162774577,62.48185357043965
0.015,0.4500203855942537,0.1203430240991307,0.1201718336331817,0.1205264472171342,36.4155402892377,98.93141394581311,-0.02355976483361015,0.3642797750674629,62.38480257496057,19.47198392908721,1,36.4155402892377,62.38480257496057
0.016,0.4471919618739174,0.1203658010283438,0.1201832663137387,0.1205614735548318,36.35905658188412,98.8605936181997,-0.02513009544333748,0.3635240322413374,62.28738607483648,19.52405585964377,1,36.35905658188412,62.28738607483648
0.017,0.4444193908047308,0.1203885665721039,0.1201946961365026,0.1205964911371001,36.302351731076,98.78982540566243,-0.02670036404705241,0.3627686261560957,62.18976513597164,19.5763524333941,1,36.302351731076,62.18976513597164
