"time","blood.vessel.pressure","cNeAmount.con.concentration","lung.r","vNeAmount.con.concentration","baro.signal.activation","cNeEmit.trigger.activation","para.signal.activation","heart.tlast","symp.signal.activation"
0,100,0.025,0.5,0.025,1.284312463675411,0,0.06075877356154628,0,0
0.001,100.2256396411288,0.02498750312434402,0.5002857142857142,0.0250874781295919,1.28430345427252,0,0.06075840881294223,0,0
0.002,100.4476954481804,0.02497501249468392,0.5005714285714286,0.0251749125372126,1.284276777291844,0,0.0607573284757844,0,0
0.003,100.6662105649097,0.02496252810788674,0.5008571428571429,0.02526230324479285,1.284232722001146,0,0.06075554400515342,0,0
0.004,100.8812268631193,0.02495004996085631,0.5011428571428572,0.02534965027400583,1.284171557941196,0,0.06075306607499223,0,0
0.005,101.092763972845,0.02493757805213248,0.5014285714285714,0.02543695363507264,1.284093115474865,0,0.06074988796785048,0,0
0.006,101.3008869134668,0.02492511237685454,0.5017142857142858,0.02552421336201823,1.283998138355234,0,0.0607460391365815,0,0
0.007,101.5056199314753,0.02491265293316156,0.5020000000000001,0.02561142946786913,1.283886560427338,0,0.06074151696173148,0,0
0.008,101.7069988252527,0.02490019971833801,0.5022857142857144,0.02569860197163393,1.283758552070676,0,0.06073632819066269,0,0
0.008999999999999999,101.9050753064092,0.02488775272833861,0.5025714285714287,0.02578573090162975,1.283614607373334,0,0.06073049238964896,0,0
0.01,102.0998777548615,0.02487531196095854,0.502857142857143,0.0258728162732902,1.28345475918144,0,0.06072401085983384,0,0
0.011,102.2914427128545,0.02486287741335889,0.5031428571428572,0.02595985810648778,1.283279208927963,0,0.06071689157845138,0,0
0.012,102.479816305304,0.02485044908183005,0.5034285714285716,0.0260468564271897,1.283088354988412,0,0.06070915032171148,0,0
0.013,102.665037257208,0.02483802696333475,0.5037142857142859,0.02613381125665673,1.2828824529784,0,0.06070079721258356,0,0
0.014,102.8471439915564,0.02482561105486321,0.5040000000000001,0.02622072261595753,1.282661757661613,0,0.06069184234035221,0,0
0.015,103.0261770647593,0.02481320135297654,0.5042857142857144,0.02630759052916423,1.282426571608658,0,0.06068229768750739,0,0
